,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
ZS1 down,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.059016996622085566,-0.3208203966220856,-0.15901699662208557,-0.22082039410648557,-0.12082039662208557,-0.1632482925863239,-0.14442719410648558,-0.1568883732476435,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.15901699662208557,-0.059016996622085566,-0.3208203966220856,-0.5826237991376855,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856,-0.3208203966220856
ZS2 up,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.5945897698402405,0.8945897698402405,0.10917956984024052,0.5945897698402405,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.22376938493384047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.40917957738704047,0.7091795773870404,-0.07623062261295949,0.40917957738704047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047,0.22376938493384047
ZS2 down,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.2,0.28541019999999995,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.09999999999999998,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.09999999999999998,0.5854101999999999,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
ZS3 up,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.44999998807907104,-0.14999998807907106,0.3354102119209289,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,0.15000001192092893,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,-0.14999998807907106,0.15000001192092893,-0.635410188079071,-0.14999998807907106,-0.33541018053227106,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105,-0.03541018807907105
ZS3 down,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.44999998807907104,0.7499999880790711,1.2354101880790709,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,1.0499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,0.7499999880790711,1.0499999880790711,0.26458978807907113,0.7499999880790711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711,0.5645897956258711
ZS4 up,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.4000000014901161,-0.38541019850988384,0.10000000149011612,-0.08541019096308389,0.21458980149011614,0.03852428221685744,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.18753881658371613,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.14376940903691612,0.4437694090369161,-0.34164079096308386,0.14376940903691612,-0.04164078341628388,0.2583592090369161,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868,0.17477987762646868
ZS4 down,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.9999999880790711,0.2145897880790711,0.699999988079071,0.514589795625871,0.814589788079071,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7118838995439858,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,0.7059419438115284,1.0059419438115285,0.22053174381152846,0.7059419438115284,0.5205317513583284,0.8205317438115284,0.8205317438115284,0.8205317438115284,0.8205317438115284,0.8205317438115284,0.8205317438115284,0.8205317438115284,0.8205317438115284,0.8205317438115284
ZS5 up,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.850000011920929,0.064589811920929,0.550000011920929,0.36458981946772895,0.6645898119209289,0.46335623920859814,0.593769419467729,0.5169050366330908,0.56671843744395,0.5373588565901346,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5627717521675815,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.5563858820442552,0.8563858820442551,0.07097568204425525,0.5563858820442552,0.3709756895910552,0.6709756820442552,0.6709756820442552,0.6709756820442552,0.6709756820442552
ZS5 down,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.900000023841858,0.11458982384185795,-0.1309950661509457,0.11458982384185795,-0.370820376158142,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.11458982384185795,0.41458982384185794,0.900000023841858,0.41458982384185794
intensity,,1.028463102684406,1.0100674395764724,1.081424857003612,1.0334702850911197,1.0135261430002347,1.0334702850911197,1.0243082927510925,1.0587453953231731,1.0800777317563588,1.0356233508956165,1.2579693960332488,1.105239073499008,1.0955155240592056,1.0776080686039187,1.0362188720364756,1.0944334069602868,0.9647554626856222,0.9473477983369111,1.1080505959153295,0.9633705440932727,0.9541983995352513,1.2881336750639196,0.9005420284215351,0.9118332935959944,0.9368021577603598,0.9265596049127607,0.9596510225604923,1.0043405884819172,0.9370505283423681,0.9196655530016459,0.9308974258004952,0.920554047687907,0.8981348698814239,0.9314267752721462,0.9088459247976958,0.8932921407700485,0.9813714658961389,0.9265595504897322,0.890858818298502,0.8956742630065998,0.9615326741701031,0.9537271959306693,0.9329940013267805,0.8982779271845444,0.9070160561182361,0.9463224832258581,0.887952944777242,0.9139532938066588,0.8646360262855172,0.9446608864305662,0.9081141678352888,1.485174132662573,0.9473477983369111,0.9541984104988284,0.9081141780374977,0.956318820868982,0.8956742373205051,1.1469000416709396,1.0593996959011855,0.9894075774471464,0.9871678700950587,0.8956742215984372,1.3578040448862814,0.9863079034881822,1.2096750115016104,1.0432569586569655,0.9074594371901767,1.041481643391637,0.9057379668361146,1.2900622060290987,0.9824997796365011,0.9366720178739314,0.9182178199355479,0.9273880900151038,0.9362182948936733,0.9219975989211333,0.936683699166592,0.9239259810123106,0.9182454376006667,0.9331405284093939,0.9368989019724965,0.9177759275272328,0.9209198803063726,0.8936200049466461,0.9429839367496589,0.9334217013001955,0.9310298546533796,0.9368021384296377,0.8832343247651077,0.8825025498433144,0.9149361070920138,0.9394284836266933
